City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
beitbridge,0.0,ZA,1547270899.0,64.0,-22.21,29.99,85.97,5.06
tongchuan,92.0,CN,1547269200.0,59.0,34.9,108.95,37.4,4.47
ucluelet,88.0,CA,1547270899.0,99.0,48.94,-125.55,40.79,2.15
llanes,64.0,ES,1547270754.0,88.0,43.42,-4.75,29.09,2.15
kenitra,20.0,MA,1547269200.0,87.0,34.26,-6.57,42.8,3.36
tual,44.0,ID,1547270901.0,100.0,-5.67,132.75,82.28,12.44
talcahuano,0.0,CL,1547269200.0,87.0,-36.72,-73.12,51.8,2.24
uvalde,90.0,US,1547269080.0,99.0,29.21,-99.79,60.08,6.06
le port,56.0,FR,1547270902.0,100.0,42.87,1.37,19.82,1.92
atbasar,68.0,KZ,1547270903.0,80.0,51.81,68.36,-4.84,7.07
nelson bay,0.0,AU,1547269200.0,43.0,-32.72,152.14,91.4,11.41
sotnikovskoye,32.0,RU,1547270903.0,79.0,45.0,43.79,16.94,3.15
dabat,0.0,ET,1547270903.0,18.0,12.98,37.77,64.28,3.71
cherskiy,48.0,RU,1547270904.0,45.0,68.75,161.3,-14.74,2.26
sisimiut,0.0,GL,1547270904.0,100.0,66.94,-53.67,-24.64,1.7
kamensk-uralskiy,20.0,RU,1547270904.0,66.0,56.42,61.93,-0.52,9.19
dragor,20.0,BG,1547269200.0,85.0,42.23,24.3,32.0,4.7
san carlos de bariloche,40.0,AR,1547269200.0,87.0,-41.13,-71.31,50.0,10.29
marzuq,0.0,YE,1547270819.0,41.0,14.4,46.47,60.59,2.59
cavalcante,88.0,BR,1547270905.0,86.0,-13.79,-47.46,68.96,2.71
ballina,88.0,IE,1547270706.0,95.0,54.11,-9.15,46.28,16.46
mana,8.0,RS,1547269200.0,84.0,43.52,20.24,10.4,2.15
loding,75.0,DE,1547268600.0,92.0,48.05,12.68,28.4,5.82
kiunga,92.0,PG,1547270907.0,85.0,-6.12,141.3,79.76,2.82
vestmannaeyjar,12.0,IS,1547270908.0,97.0,63.44,-20.27,40.16,16.24
esperance,20.0,TT,1547269200.0,88.0,10.24,-61.45,75.2,6.62
ryotsu,75.0,JP,1547269200.0,48.0,38.08,138.43,44.6,3.36
hami,36.0,CN,1547270751.0,78.0,42.84,93.51,17.66,4.61
wamba,8.0,CD,1547270909.0,79.0,2.14,27.99,74.63,3.6
saint-michel-des-saints,36.0,CA,1547270728.0,54.0,46.68,-73.92,-0.88,8.86
yeppoon,0.0,AU,1547269200.0,45.0,-23.13,150.74,86.0,11.41
las vegas,1.0,US,1547269080.0,46.0,36.17,-115.15,53.06,6.93
new iberia,40.0,US,1547269800.0,91.0,30.0,-91.82,53.06,8.05
esterhazy,48.0,CA,1547270912.0,67.0,50.65,-102.08,1.46,4.72
paramonga,8.0,PE,1547270912.0,100.0,-10.68,-77.82,71.3,13.33
qinzhou,92.0,CN,1547270912.0,100.0,21.96,108.62,59.6,4.27
vanimo,0.0,PG,1547270818.0,100.0,-2.67,141.3,82.91,18.7
natal,40.0,BR,1547269200.0,74.0,-5.81,-35.21,78.8,6.93
guozhen,92.0,CN,1547270913.0,97.0,29.3,113.14,45.11,5.73
galle,90.0,US,1547269920.0,96.0,29.74,-97.91,59.0,3.36
creston,75.0,US,1547270100.0,100.0,41.06,-94.36,32.0,10.29
oktyabrskiy,92.0,RU,1547269200.0,92.0,55.61,37.97,14.0,6.71
conde,56.0,BR,1547270915.0,100.0,-11.81,-37.61,75.08,4.27
taunggyi,8.0,MM,1547270915.0,55.0,20.78,97.03,72.65,3.38
kyaikkami,24.0,MM,1547270915.0,67.0,16.08,97.57,88.04,3.49
makarov,0.0,RU,1547270916.0,76.0,48.62,142.78,19.46,10.2
lata,76.0,IN,1547270916.0,81.0,30.78,78.62,40.43,1.7
koshki,92.0,RU,1547270916.0,86.0,54.2,50.47,14.96,10.09
shimoda,75.0,JP,1547269200.0,75.0,34.7,138.93,50.0,16.11
labuhan,8.0,ID,1547270835.0,100.0,-2.54,115.51,81.11,2.71
adrar,0.0,DZ,1547269200.0,51.0,27.87,-0.29,37.4,6.93
rawson,80.0,AR,1547270918.0,34.0,-43.3,-65.11,70.31,16.69
dawlatabad,32.0,AF,1547270918.0,90.0,36.41,64.91,38.36,6.4
nysa,92.0,PL,1547270919.0,93.0,50.47,17.33,33.32,12.77
ballitoville,0.0,ZA,1547269200.0,69.0,-29.54,31.21,77.0,21.92
qasigiannguit,0.0,GL,1547268600.0,47.0,68.82,-51.19,-9.41,2.24
cabo rojo,40.0,PR,1547268600.0,82.0,18.09,-67.15,66.2,5.5
lagoa,0.0,PT,1547267400.0,39.0,37.14,-8.45,46.4,5.82
bathsheba,20.0,BB,1547269200.0,78.0,13.22,-59.52,77.0,14.99
craig,90.0,US,1547268960.0,91.0,40.52,-107.55,28.04,2.15
luza,88.0,RU,1547270921.0,78.0,60.63,47.26,16.85,15.68
bastia,0.0,IT,1547268600.0,35.0,44.6,8.98,39.2,6.93
dongobesh,8.0,TZ,1547270922.0,60.0,-4.07,35.37,68.06,5.28
dubti,0.0,ET,1547270922.0,35.0,11.74,41.09,71.21,6.96
pulaski,90.0,US,1547270100.0,50.0,37.05,-80.78,36.32,3.36
galveston,1.0,US,1547270100.0,86.0,40.58,-86.19,30.02,6.93
flin flon,44.0,CA,1547270923.0,84.0,54.77,-101.88,2.81,7.18
grosuplje,75.0,SI,1547267400.0,92.0,45.96,14.66,26.6,2.24
fershampenuaz,68.0,RU,1547270924.0,65.0,53.52,59.82,2.45,10.87
puerto escondido,20.0,MX,1547268300.0,69.0,15.86,-97.07,78.8,5.82
sao filipe,0.0,CV,1547270724.0,100.0,14.9,-24.5,71.12,10.42
basco,90.0,US,1547268900.0,100.0,40.33,-91.2,28.94,9.17
santa engracia,0.0,ES,1547269200.0,75.0,41.94,-1.32,41.0,21.92
grootfontein,0.0,NA,1547269200.0,55.0,-19.56,18.1,66.2,8.75
areka,0.0,ET,1547270925.0,28.0,7.07,37.71,62.03,6.96
kargil,76.0,PK,1547270926.0,79.0,34.56,76.13,1.55,1.25
albanel,64.0,CA,1547270926.0,53.0,48.88,-72.44,-0.16,10.09
balsas,56.0,BR,1547270927.0,94.0,-7.53,-46.04,66.53,3.15
aberystwyth,92.0,GB,1547270927.0,96.0,52.41,-4.08,47.0,17.36
sarakhs,0.0,TM,1547269200.0,100.0,36.54,61.16,39.2,16.11
rio grande,100.0,BR,1547270928.0,93.0,-32.03,-52.1,73.1,11.99
magan,32.0,RU,1547269200.0,65.0,62.1,129.53,-34.61,2.59
sept-iles,90.0,CA,1547269200.0,78.0,50.2,-66.38,15.8,6.93
cabedelo,0.0,BR,1547269200.0,83.0,-6.97,-34.84,77.0,8.05
bulgan,12.0,MN,1547270929.0,53.0,48.81,103.53,10.1,4.16
juneau,90.0,US,1547268960.0,95.0,58.3,-134.42,32.0,3.36
wanlaweyn,12.0,SO,1547270930.0,64.0,2.62,44.89,79.76,13.22
saint anthony,90.0,US,1547268960.0,78.0,43.97,-111.68,28.94,5.82
mazagao,90.0,BR,1547269200.0,100.0,-0.12,-51.29,75.2,3.36
yining,56.0,CN,1547270931.0,81.0,29.04,114.56,48.08,2.37
nakamura,75.0,JP,1547269200.0,52.0,35.17,136.87,46.4,11.41
meppen,76.0,DE,1547268900.0,93.0,52.69,7.29,42.8,5.82
pictou,56.0,CA,1547270932.0,65.0,45.68,-62.71,17.03,8.08
xihua,48.0,CN,1547270932.0,67.0,33.79,114.53,49.88,5.17
tiznit,0.0,MA,1547270933.0,88.0,29.7,-9.73,46.73,5.17
jiaocheng,0.0,CN,1547270933.0,72.0,24.68,116.14,67.97,2.93
kadoma,88.0,ZW,1547270933.0,97.0,-18.34,29.91,70.31,4.61
pidhorodne,90.0,UA,1547269200.0,85.0,48.57,35.1,17.6,4.47
souillac,90.0,FR,1547269200.0,93.0,45.6,-0.6,41.0,1.7
launceston,8.0,AU,1547269200.0,16.0,-41.43,147.14,78.8,11.41
llaillay,0.0,CL,1547269200.0,93.0,-32.84,-70.95,60.8,1.03
petropavlovsk-kamchatskiy,40.0,RU,1547269200.0,55.0,53.05,158.65,33.8,22.37
bowen,8.0,AU,1547269200.0,66.0,-20.01,148.25,84.2,18.34
warrnambool,0.0,AU,1547270937.0,77.0,-38.38,142.48,65.54,14.0
chiredzi,32.0,ZW,1547270937.0,71.0,-21.05,31.67,83.81,5.17
lhokseumawe,20.0,ID,1547270937.0,91.0,5.18,97.15,84.71,7.96
bilibino,12.0,RU,1547270938.0,32.0,68.06,166.44,-22.75,2.15
buala,64.0,SB,1547270938.0,96.0,-8.15,159.59,82.28,5.39
yabrud,0.0,SY,1547269200.0,86.0,33.97,36.66,30.2,6.93
kununurra,0.0,AU,1547269200.0,42.0,-15.77,128.74,102.2,5.82
byron bay,0.0,AU,1547269200.0,69.0,-28.65,153.62,91.4,14.99
san quintin,8.0,PH,1547270940.0,56.0,17.54,120.52,82.46,4.16
aitape,48.0,PG,1547270940.0,95.0,-3.15,142.36,82.01,10.42
santa cruz de tenerife,0.0,ES,1547269200.0,87.0,28.47,-16.25,59.0,6.93
taitung,75.0,TW,1547269200.0,69.0,22.76,121.15,80.6,8.05
kamenka,88.0,RU,1547270941.0,79.0,53.19,44.05,10.19,3.15
tocopilla,0.0,CL,1547270942.0,100.0,-22.09,-70.2,58.07,1.14
meulaboh,36.0,ID,1547270942.0,100.0,4.14,96.13,83.99,4.83
yar-sale,76.0,RU,1547270943.0,86.0,66.83,70.83,-9.61,20.04
kanigiri,8.0,IN,1547270943.0,64.0,15.41,79.51,82.28,5.95
knysna,75.0,ZA,1547269200.0,67.0,-34.04,23.05,60.8,8.05
niamey,8.0,NE,1547269200.0,20.0,13.52,2.11,66.2,4.7
manoel urbano,56.0,BR,1547270944.0,95.0,-8.84,-69.26,73.91,1.14
nhulunbuy,90.0,AU,1547269680.0,79.0,-12.18,136.78,84.2,10.29
kloulklubed,75.0,PW,1547268600.0,70.0,7.04,134.26,86.0,11.41
sobolevo,76.0,RU,1547270945.0,88.0,54.43,31.9,12.71,10.2
rio gallegos,40.0,AR,1547269200.0,45.0,-51.62,-69.22,46.4,23.04
orikhove,64.0,UA,1547270946.0,94.0,48.1,38.11,28.19,15.23
mucurapo,20.0,TT,1547269200.0,88.0,10.67,-61.53,75.2,13.0
tilichiki,0.0,RU,1547270802.0,67.0,60.47,166.1,-1.06,5.39
wukari,8.0,NG,1547270947.0,54.0,7.87,9.78,66.26,7.74
zhigansk,44.0,RU,1547270947.0,32.0,66.77,123.37,-21.94,8.3
maraa,8.0,BR,1547270948.0,92.0,-1.83,-65.37,73.73,5.95
ashcroft,0.0,AU,1547269200.0,52.0,-33.91,150.9,95.0,16.11
gravatai,40.0,BR,1547269200.0,83.0,-29.94,-50.99,73.4,8.05
san cristobal,75.0,EC,1547269200.0,100.0,-0.39,-78.55,55.4,2.24
belyy yar,20.0,RU,1547269200.0,84.0,53.6,91.39,3.2,4.38
tessalit,88.0,ML,1547270949.0,20.0,20.2,1.01,45.29,12.21
van buren,90.0,US,1547268960.0,68.0,47.16,-67.94,3.92,3.36
ancud,90.0,CL,1547269200.0,100.0,-41.87,-73.83,53.6,2.24
victoria point,20.0,AU,1547269200.0,42.0,-27.58,153.3,89.6,11.41
moses lake,1.0,US,1547268780.0,88.0,47.13,-119.28,35.96,8.05
aksu,40.0,KZ,1547269200.0,83.0,52.04,76.93,-9.41,4.47
mokhsogollokh,64.0,RU,1547270952.0,44.0,61.4,128.95,-14.92,1.14
bilma,20.0,NE,1547270952.0,51.0,18.69,12.92,45.38,2.82
la ronge,20.0,CA,1547269200.0,77.0,55.1,-105.3,1.4,10.29
teya,5.0,MX,1547268420.0,72.0,21.05,-89.07,68.0,8.05
coihaique,20.0,CL,1547269200.0,54.0,-45.58,-72.07,53.6,11.41
plouzane,90.0,FR,1547269200.0,87.0,48.38,-4.62,46.4,4.7
baie-comeau,75.0,CA,1547269200.0,59.0,49.22,-68.15,6.8,13.87
inongo,32.0,CD,1547270954.0,99.0,-1.93,18.29,71.84,4.5
cape coast,36.0,GH,1547270954.0,93.0,5.11,-1.24,72.65,3.04
venado tuerto,0.0,AR,1547270955.0,78.0,-33.75,-61.97,58.79,7.74
izazi,75.0,TZ,1547265600.0,88.0,-7.24,35.72,68.0,2.82
lichuan,92.0,CN,1547270955.0,81.0,30.3,108.94,41.06,0.58
magdalena,88.0,BO,1547270956.0,96.0,-13.26,-64.05,72.11,2.48
russell,0.0,AR,1547269200.0,56.0,-33.01,-68.8,69.8,9.17
erenhot,0.0,CN,1547270957.0,41.0,43.65,111.97,21.26,14.34
morant bay,20.0,JM,1547269200.0,69.0,17.88,-76.41,75.2,2.24
leh,64.0,IN,1547270957.0,82.0,34.16,77.58,0.02,1.36
alta gracia,40.0,AR,1547269200.0,93.0,-31.66,-64.43,64.4,3.36
ramhormoz,12.0,IR,1547269200.0,93.0,31.28,49.6,41.0,2.24
padang,75.0,ID,1547269200.0,78.0,-0.92,100.36,80.6,6.93
vila franca do campo,40.0,PT,1547267400.0,87.0,37.72,-25.43,59.0,14.99
college,20.0,US,1547269260.0,66.0,64.86,-147.8,-38.03,3.04
dodge city,90.0,US,1547269740.0,92.0,37.75,-100.02,30.92,19.46
coos bay,20.0,US,1547268960.0,83.0,43.37,-124.22,48.92,5.82
bonavista,0.0,CA,1547270960.0,98.0,48.65,-53.11,30.26,18.7
sao gabriel da cachoeira,20.0,BR,1547270960.0,89.0,-0.13,-67.09,75.44,2.15
diego de almagro,24.0,CL,1547270961.0,99.0,-26.39,-70.05,51.86,2.59
walvis bay,20.0,NA,1547269200.0,87.0,-22.95,14.51,60.8,2.24
kuala terengganu,75.0,MY,1547269200.0,83.0,5.33,103.14,82.4,1.12
ha tinh,92.0,VN,1547270962.0,100.0,18.33,105.9,71.75,2.71
comarapa,88.0,BO,1547270963.0,100.0,-17.91,-64.53,55.73,2.59
worland,90.0,US,1547268900.0,95.0,44.02,-107.96,30.02,4.94
erbach,75.0,DE,1547268600.0,92.0,48.33,9.89,35.6,11.41
tagusao,24.0,PH,1547270964.0,73.0,9.19,117.81,85.43,11.43
okhotsk,20.0,RU,1547270964.0,100.0,59.36,143.24,-6.28,9.19
belica,75.0,SI,1547268600.0,92.0,46.07,14.35,24.8,2.24
sindor,76.0,RU,1547270965.0,75.0,62.87,51.9,16.49,14.67
kamaishi,75.0,JP,1547269200.0,51.0,39.28,141.86,39.2,5.82
bonthe,0.0,SL,1547270965.0,89.0,7.53,-12.5,78.05,4.5
salisbury,64.0,GB,1547268960.0,87.0,51.07,-1.8,48.2,8.05
ghanzi,0.0,BW,1547270966.0,22.0,-21.7,21.65,73.01,14.56
tygda,44.0,RU,1547270967.0,65.0,53.11,126.33,-4.21,3.71
ekhabi,0.0,RU,1547270967.0,85.0,53.51,142.97,7.4,16.13
dudinka,36.0,RU,1547270967.0,0.0,69.41,86.18,-33.01,10.31
guider,0.0,CM,1547270968.0,51.0,9.93,13.94,60.14,5.06
shashi,80.0,CN,1547270968.0,97.0,27.02,114.08,46.01,3.6
palaiokomi,75.0,GR,1547270400.0,100.0,40.87,23.9,39.2,3.6
kapit,32.0,MY,1547270969.0,76.0,2.02,112.94,84.89,1.92
xiaoshi,0.0,CN,1547270969.0,79.0,30.59,116.63,47.0,3.83
tecoanapa,20.0,MX,1547268120.0,78.0,16.99,-99.26,78.8,2.24
cagmanaba,68.0,PH,1547270970.0,100.0,13.06,123.3,79.58,14.0
murdochville,80.0,CA,1547270970.0,72.0,48.96,-65.49,17.39,18.25
bara,8.0,NG,1547270971.0,45.0,10.41,10.6,60.23,7.74
haizhou,0.0,CN,1547270971.0,94.0,34.58,119.13,42.68,5.95
kenora,90.0,CA,1547269200.0,85.0,49.76,-94.48,17.6,10.29
the valley,20.0,AI,1547269200.0,88.0,18.22,-63.06,73.4,2.24
santa marinella,0.0,IT,1547268600.0,59.0,42.04,11.87,35.6,2.24
pilar,0.0,AR,1547269200.0,68.0,-34.46,-58.91,71.6,13.87
hanna,0.0,CA,1547270973.0,75.0,51.64,-111.93,11.72,5.73
aripuana,56.0,BR,1547270973.0,91.0,-9.17,-60.63,74.72,2.37
colac,0.0,AU,1547270765.0,41.0,-38.34,143.59,76.61,5.28
abu kamal,12.0,SY,1547270974.0,85.0,34.45,40.92,35.84,5.06
conceicao do araguaia,76.0,BR,1547270974.0,100.0,-8.26,-49.26,68.6,11.65
port lincoln,0.0,AU,1547270974.0,74.0,-34.72,135.86,70.94,15.79
sol-iletsk,92.0,RU,1547270975.0,87.0,51.16,55.0,17.66,17.47
vitim,0.0,RU,1547270975.0,50.0,59.44,112.57,-3.58,5.61
singapore,75.0,MY,1547269200.0,55.0,1.29,103.85,89.6,10.29
ulaanbaatar,0.0,MN,1547269200.0,55.0,47.92,106.92,10.4,8.95
longyearbyen,20.0,NO,1547268600.0,55.0,78.22,15.63,8.6,20.8
divinopolis,68.0,BR,1547270976.0,72.0,-20.14,-44.88,70.76,3.6
necochea,0.0,AR,1547270976.0,74.0,-38.55,-58.74,57.89,11.1
perafita,0.0,PT,1547267400.0,70.0,41.22,-8.7,42.8,6.93
kibala,0.0,TD,1547269200.0,55.0,9.11,18.35,66.2,4.38
ribeira brava,40.0,PT,1547267400.0,63.0,32.65,-17.07,62.6,11.41
basoko,20.0,CD,1547270978.0,93.0,1.23,23.61,72.11,4.61
antalya,75.0,TR,1547268600.0,93.0,36.9,30.69,48.2,6.93
quatre cocos,75.0,MU,1547269200.0,79.0,-20.21,57.76,84.2,12.75
velizh,88.0,RU,1547270979.0,86.0,55.61,31.2,17.21,11.1
